,title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Language,Budget (float),Box office (float),Release date(datetime),Release date (datetime),Country,Budget,Box office,Screenplay by,Story by,Production companies,Release dates,Countries,Color process,Narrated by,Languages,Animation by
36,Wonder Woman 1984,Patty Jenkins,,"['Characters', 'from', 'DC']","['Charles Roven', 'Deborah Snyder', 'Zack Snyder', 'Patty Jenkins', 'Gal Gadot', 'Stephen Jones']","['Gal Gadot', 'Chris Pine', 'Kristen Wiig', 'Pedro Pascal', 'Robin Wright', 'Connie Nielsen']",Matthew Jensen,Richard Pearson,Hans Zimmer,,Warner Bros. Pictures,"['December 25, 2020 (United States)']",151 minutes,English,200000000.0,169600000.0,2020-12-25,2020-12-25,United States,$200 million,$169.6 million,"['Patty Jenkins', 'Geoff Johns', 'Dave Callaham']","['Patty Jenkins', 'Geoff Johns']","['Warner Bros. Pictures', 'DC Films', 'Atlas Entertainment', 'The Stone Quarry']",,,,,,
37,The Suicide Squad,James Gunn,James Gunn,"['Characters', 'from', 'DC']","['Charles Roven', 'Peter Safran']","['Margot Robbie', 'Idris Elba', 'John Cena', 'Joel Kinnaman', 'Sylvester Stallone', 'Viola Davis', 'Jai Courtney', 'Peter Capaldi']",Henry Braham,"['Fred Raskin', 'Christian Wagner']",John Murphy,,Warner Bros. Pictures,,132 minutes,English,185000000.0,168700000.0,,,United States,$185 million,$168.7 million,,,"['DC Films', 'Atlas Entertainment', 'The Safran Company']","['July 30, 2021 (United Kingdom)', 'August 5, 2021 (United States)']",,,,,
38,The Batman,Matt Reeves,"['Matt Reeves', 'Peter Craig']","['Characters', 'from', 'DC']","['Dylan Clark', 'Matt Reeves']","['Robert Pattinson', 'Zoë Kravitz', 'Paul Dano', 'Jeffrey Wright', 'John Turturro', 'Peter Sarsgaard', 'Andy Serkis', 'Colin Farrell']",Greig Fraser,"['William Hoy', 'Tyler Nelson']",Michael Giacchino,,Warner Bros. Pictures,,176 minutes,English,185000000.0,772200000.0,,,United States,$185–200 million,$772.2 million,,,"['Warner Bros. Pictures', 'DC Films', '6th & Idaho', 'Dylan Clark Productions']","['March 1, 2022 ( Lincoln Center )', 'March 4, 2022 (United States)']",,,,,
39,Black Adam,Jaume Collet-Serra,"['Adam Sztykiel', 'Rory Haines Sohrab Noshirvani']","['Characters', 'from', 'DC']","['Beau Flynn', 'Hiram Garcia', 'Dwayne Johnson', 'Dany Garcia']","['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Marwan Kenzari', 'Quintessa Swindell', 'Bodhi Sabongui', 'Mohammed Amer', 'James Cusati-Moyer', 'Pierce Brosnan']",Lawrence Sher,"['Mike Sale', 'John Lee']",Lorne Balfe,,Warner Bros. Pictures,,125 minutes,English,190000000.0,393000000.0,,,United States,$190–260 million,$393 million,,,"['New Line Cinema', 'DC Films', 'Seven Bucks Productions', 'FlynnPictureCo.']","['October 3, 2022 ( Mexico City )', 'October 21, 2022 (United States)']",,,,,
40,Shazam! Fury of the Gods,David F. Sandberg,"['Henry Gayden', 'Chris Morgan']","['Characters', 'by', 'DC']",Peter Safran,"['Zachary Levi', 'Asher Angel', 'Jack Dylan Grazer', 'Rachel Zegler', 'Adam Brody', 'Ross Butler', 'D. J. Cotrona', 'Grace Caroline Currey', 'Meagan Good', 'Lucy Liu', 'Djimon Hounsou', 'Helen Mirren']",Gyula Pados,Michel Aller,Christophe Beck,,Warner Bros. Pictures,,130 minutes,English,110000000.0,134000000.0,,,United States,$110–125 million,$134 million,,,"['New Line Cinema', 'DC Studios', 'The Safran Company']","['March 14, 2023 ( Fox Village Theatre )', 'March 17, 2023 (United States)']",,,,,
41,The Flash,Andy Muschietti,,"['Characters', 'from', 'DC']","['Barbara Muschietti', 'Michael Disco']","['Ezra Miller', 'Sasha Calle', 'Michael Shannon', 'Ron Livingston', 'Maribel Verdú', 'Kiersey Clemons', 'Antje Traue', 'Michael Keaton']",Henry Braham,"['Jason Ballantine', 'Paul Machliss']",Benjamin Wallfisch,,Warner Bros. Pictures,,144 minutes,English,200000000.0,271300000.0,,,United States,$200–220 million,$271.3 million,Christina Hodson,"['John Francis Daley', 'Jonathan Goldstein', 'Joby Harold']","['Warner Bros. Pictures', 'DC Studios', 'Double Dream', 'The Disco Factory']","[""June 12, 2023 ( Grauman's Chinese Theatre )"", 'June 16, 2023 (United States)']",,,,,
42,Blue Beetle,Ángel Manuel Soto,Gareth Dunnet-Alcocer,"['Characters', 'from', 'DC']","['John Rickard', 'Zev Foreman']","['Xolo Maridueña', 'Adriana Barraza', 'Damián Alcázar', 'Elpidia Carrillo', 'Bruna Marquezine', 'Raoul Max Trujillo', 'Susan Sarandon', 'George Lopez']",Pawel Pogorzelski,Craig Alpert,Bobby Krlic,,Warner Bros. Pictures,,127 minutes,English,104000000.0,130699999.99999999,,,United States,$104–125 million,$130.7 million,,,"['DC Studios', 'The Safran Company']","['August 14, 2023 ( El Paso, Texas )', 'August 18, 2023 (United States)']",,,,,
43,Aquaman and the Lost Kingdom,James Wan,,"['Characters', 'from', 'DC']","['Peter Safran', 'James Wan', 'Rob Cowan']","['Jason Momoa', 'Patrick Wilson', 'Amber Heard', 'Yahya Abdul-Mateen II', 'Randall Park', 'Dolph Lundgren', 'Temuera Morrison', 'Martin Short', 'Nicole Kidman']",Don Burgess,Kirk Morri,Rupert Gregson-Williams,,Warner Bros. Pictures,,124 minutes,English,205000000.0,338900000.0,,,United States,$205–215 million,$338.9 million,David Leslie Johnson-McGoldrick,"['James Wan', 'David Leslie Johnson-McGoldrick', 'Jason Momoa', ""Thomas Pa'a Sibbett""]","['DC Studios', 'Atomic Monster', 'The Safran Company', 'Domain Entertainment']","['December 19, 2023 ( The Grove, Los Angeles )', 'December 22, 2023 (United States)']",,,,,
44,Joker: Folie à Deux,Todd Phillips,"['Scott Silver', 'Todd Phillips']","['Characters', 'from', 'DC']","['Todd Phillips', 'Bradley Cooper']","['Joaquin Phoenix', 'Lady Gaga', 'Zazie Beetz']",Lawrence Sher,Jeff Groth,Hildur Guðnadóttir,,Warner Bros. Pictures,"['October 4, 2024']",,English,150000000.0,,2024-10-04,2024-10-04,United States,$150 million,,,,"['Village Roadshow Pictures', 'Joint Effort']",,,,,,
45,Batgirl,"['Adil El Arbi', 'Bilall Fallah']",,"['Gardner Fox', 'Carmine Infantino']",Kristin Burr,"['Leslie Grace', 'J. K. Simmons', 'Jacob Scipio', 'Brendan Fraser', 'Michael Keaton']",John Mathieson,Martin Walsh,Natalie Holt,,Warner Bros. Pictures,,,English,90000000.0,,,,United States,$90 million,,Christina Hodson,,"['DC Films', 'Burr! Productions']",,,,,,
46,Adventures of Captain Marvel,"['William Witney', 'John English']",,"['Bill Parker', 'C. C. Beck']","Hiram S. Brown, Jr.","['Tom Tyler', 'Frank Coghlan Jr.', 'William Benedict', 'Louise Currie', 'Robert Strange', 'Harry Worth', 'Bryant Washburn', 'John Davidson']",William Nobles,,Cy Feuer,,Republic Pictures,"['March 28, 1941']",12 chapters / 216 minutes,English,135553.0,,1941-03-28,1941-03-28,United States,"$135,553 ( negative cost : $119,343)",,"['Ronald Davidson', 'Norman S. Hall', 'Arch B. Heath', 'Joseph Poland', 'Sol Shor']",,,,,,,,
47,Spy Smasher,William Witney,"['Ronald Davidson', 'Norman S. Hall', 'William Lively', ""Joseph O'Donnell"", 'Joseph Poland']","['C. C. Beck', 'Bill Parker']",William J. O'Sullivan,"['Kane Richmond', 'Marguerite Chapman', 'Sam Flint', 'Hans Schumm', 'Tris Coffin']",Reggie Lanning,"['Tony Martinelli', 'Edward Todd']",Mort Glickman,,Republic Pictures,"['April 4, 1942 (U.S. serial)']","['12 chapters (214 minutes) (serial)', '100 minutes (TV)']",English,153682.0,,1942-04-04,1942-04-04,United States,"$153,682 ( negative cost : $156,431)",,,,,,,,,,
48,Batman,Lambert Hillyer,"['Victor McLeod', 'Leslie Swabacker', 'Harry L. Fraser']","['Bill Finger', 'Bob Kane']",Rudolph C. Flothow,"['Lewis Wilson', 'Douglas Croft', 'J. Carrol Naish', 'Shirley Patterson']",James S. Brown Jr.,"['Dwight Caldwell', 'Earl Turner']",Lee Zahler,,Columbia Pictures,"['July 16, 1943']","['15 chapters', '(260 minutes)']",English,,,1943-07-16,1943-07-16,United States,,,,,,,,Black and white,,,
49,Hop Harrigan,Derwin Abrahams,"['Jon L. Blummer (adapted from the comic strip by)', 'Ande Lamb (original screenplay)', 'George H. Plympton', '(original screenplay)']",['Jon L. Blummer'],Sam Katzman,"['William Bakewell', 'Jennifer Holt', ""Robert 'Buzz' Henry"", 'Sumner Getchell']",Ira H. Morgan,Earl Turner,Lee Zahler,Sam Katzman Productions,Columbia Pictures,"['March 28, 1946']",15 chapter serial,English,,,1946-03-28,1946-03-28,United States,,,,,,,,,,,
50,The Vigilante,Wallace Fox,"['Lewis Clay', 'Arthur Hoerl', 'George H. Plympton']","['Mort Weisinger', 'Mort Meskin']",Sam Katzman,"['Ralph Byrd', 'Ramsay Ames', 'Lyle Talbot', 'George Offerman Jr.']",Ira H. Morgan,Earl Turner,,Columbia Pictures,Columbia Pictures,"['May 22, 1947']","['285 minutes', '(15 chapters)']",English,,,1947-05-22,1947-05-22,United States,,,,,,,,Black and white,,,
51,Superman,"['Spencer Gordon Bennet', 'Thomas Carr']","['Lewis Clay', 'Royal K. Cole', 'Arthur Hoerl', 'George H. Plympton', 'Joseph F. Poland']","['Jerry Siegel', 'Joe Shuster']",Sam Katzman,"['Kirk Alyn', 'Noel Neill', 'Carol Forman', 'Tommy Bond', 'Forrest Taylor']",Ira H. Morgan,Earl C. Turner,Mischa Bakaleinikoff,,Columbia Pictures,"['January 5, 1948 (United States)']",15 chapters (244 minutes),English,,,1948-01-05,1948-01-05,,,,,,,,,Black and white,,,
52,Congo Bill,"['Spencer Gordon Bennet', 'Thomas Carr']","['George H. Plympton', 'Arthur Hoerl', 'Lewis Clay']","['Whitney Ellsworth', 'George Papp']",,"['Don McGuire', 'Cleo Moore', 'Jack Ingram', 'I. Stanford Jolley', 'Leonard Penn', 'Nelson Leigh']",,,,,Columbia Pictures,"['October 28, 1948']",15 chapters,English,,,1948-10-28,1948-10-28,United States,,,,,,,,,,,
53,Batman and Robin,Spencer Gordon Bennet,"['George H. Plympton', 'Joseph F. Poland', 'Royal K. Cole']","['Bob Kane', 'Bill Finger', 'Bob Kane', 'Bill Finger', 'Jerry Robinson']",Sam Katzman,"['Robert Lowery', 'Johnny Duncan', 'Jane Adams', 'Lyle Talbot', 'Ralph Graves', 'Don C. Harvey', 'William Fawcett', 'Leonard Penn']",Ira H. Morgan,"['Dwight Caldwell', 'Earl Turner']",Mischa Bakaleinikoff,,Columbia Pictures,"['May 26, 1949 (United States)']","['15 chapters (17-26 mins)', '(Total: 264 minutes)']",English,,,1949-05-26,1949-05-26,United States,,,,,,,,Black and white,,,
54,Atom Man vs. Superman,Spencer Gordon Bennet,"['David Mathews', 'George H. Plympton', 'Joseph F. Poland']","['Characters', 'by', 'Joe Shuster']",Sam Katzman,"['Kirk Alyn', 'Lyle Talbot', 'Noel Neill', 'Tommy Bond']",Ira H. Morgan,Earl C. Turner,Mischa Bakaleinikoff,,Columbia Pictures,"['July 20, 1950 (United States)']",15 chapters (252 minutes),English,,,1950-07-20,1950-07-20,,,,,,,,,Black and white,,,
55,Blackhawk,"['Spencer Gordon Bennet', '(as Spencer Bennet)', 'Fred F. Sears']","['George H. Plympton', 'Royal K. Cole', 'Sherman L. Lowe']","['Chuck Cuidera', 'Bob Powell', 'Will Eisner']",Sam Katzman,"['Kirk Alyn', 'Carol Forman', 'John Crawford']",William Whitley,Earl Turner,Mischa Bakaleinikoff,Sam Katzman Productions,Columbia Pictures,"['July 24, 1952']","['242 minutes', '(15 episodes)']",English,,,1952-07-24,1952-07-24,United States,,,,,,,,Black and white,,,
56,Stamp Day for Superman,Thomas Carr,"['David T. Chantler', 'Whitney Ellsworth', 'Jackson Gillis']","['Characters', 'by', 'Joe Shuster']",Whitney Ellsworth,"['George Reeves', 'Noel Neill']",Harold E. Stine,Harry W. Gerstad,,,U.S. Department of the Treasury,['1954'],18 minutes,English,,,,,United States,,,,,,,,,,,
57,V for Vendetta,James McTeigue,,"['V for Vendetta', 'by', 'Alan Moore', 'David Lloyd', 'Tony Weare']","['Joel Silver', 'Grant Hill', 'The Wachowskis']","['Natalie Portman', 'Hugo Weaving', 'Stephen Rea', 'John Hurt']",Adrian Biddle,Martin Walsh,Dario Marianelli,,Warner Bros. Pictures,,133 minutes,English,50000000.0,134700000.0,,,,$50–54 million,$134.7 million,The Wachowskis,,"['Silver Pictures', 'Virtual Studios', 'Studio Babelsberg', 'Vertigo DC Comics', 'Anarchos Productions, Inc.']","['11 December 2005 ( Butt-Numb-A-Thon )', '17 March 2006 (United States)']","['Germany', 'United Kingdom', 'United States']",,,,
58,Stardust,Matthew Vaughn,,"['Stardust', 'by', 'Neil Gaiman']","['Lorenzo di Bonaventura', 'Michael Dreyer', 'Neil Gaiman', 'Matthew Vaughn']","['Claire Danes', 'Charlie Cox', 'Sienna Miller', 'Ricky Gervais', 'Jason Flemyng', 'Rupert Everett', ""Peter O'Toole"", 'Michelle Pfeiffer', 'Robert De Niro']",Ben Davis,Jon Harris,Ilan Eshkeri,,Paramount Pictures,,128 minutes,English,70000000.0,137000000.0,,,,$70–88.5 million,$137 million,"['Jane Goldman', 'Matthew Vaughn']",,"['Marv Films', 'Ingenious Film Partners']","['29 July 2007 (Paramount Studio Theatre)', '10 August 2007 (United States)', '19 October 2007 (United Kingdom)']","['United States', 'United Kingdom']",,,,
59,The Losers,Sylvain White,,"['Andy Diggle', 'Jock']","['Joel Silver', 'Akiva Goldsman', 'Kerry Foster']","['Jeffrey Dean Morgan', 'Zoe Saldana', 'Chris Evans', 'Idris Elba', 'Columbus Short', 'Oscar Jaenada', 'Jason Patric']",Scott Kevan,David Checel,John Ottman,,Warner Bros. Pictures,"['April 23, 2010']",97 minutes,English,25000000.0,29900000.0,2010-04-23,2010-04-23,United States,$25 million,$29.9 million,"['Peter Berg', 'James Vanderbilt']",,"['Dark Castle Entertainment', 'Vertigo (DC)', 'StudioCanal', 'Weed Road Pictures']",,,,,,
60,The Kitchen,Andrea Berloff,Andrea Berloff,"['Ollie Masters', 'Ming Doyle']","['Michael De Luca', 'Marcus Viscidi']","['Melissa McCarthy', 'Tiffany Haddish', 'Elisabeth Moss', 'Domhnall Gleeson', 'James Badge Dale', ""Brian d'Arcy James"", 'Margo Martindale', 'Common', 'Bill Camp']",Maryse Alberti,Christopher Tellefsen,Bryce Dessner,,Warner Bros. Pictures,"['August 9, 2019 (United States)']",102 minutes,English,38000000.0,16000000.0,2019-08-09,2019-08-09,United States,$38 million,$16 million,,,"['New Line Cinema', 'Bron Creative', 'DC Vertigo', 'Michael De Luca Productions']",,,,,,
61,Road to Perdition,Sam Mendes,,"['Max Allan Collins', 'Richard Piers Rayner']","['Richard D. Zanuck', 'Dean Zanuck', 'Sam Mendes']","['Tom Hanks', 'Paul Newman', 'Jude Law', 'Jennifer Jason Leigh', 'Stanley Tucci', 'Daniel Craig', 'Tyler Hoechlin']",Conrad L. Hall,Jill Bilcock,Thomas Newman,The Zanuck Company,"['DreamWorks Pictures (United States)', '20th Century Fox (International)']",,117 minutes,English,80000000.0,183400000.0,,,United States,$80 million,$183.4 million,David Self,,,"['July 12, 2002 (United States)', 'August 31, 2002 ( Venice )']",,,,,
62,A History of Violence,David Cronenberg,,"['John Wagner', 'Vince Locke']","['Chris Bender', 'J. C. Spink']","['Viggo Mortensen', 'Maria Bello', 'Ed Harris', 'William Hurt']",Peter Suschitzky,Ronald Sanders,Howard Shore,,"['New Line Cinema (United States)', 'Odeon Films (Canada)', 'Warner Bros. Pictures (Germany)']",,96 minutes,English,32000000.0,61400000.0,,,,$32 million,$61.4 million,Josh Olson,,"['BenderSpink', 'Media I! Filmproduktion München & Company']","['May 16, 2005 ( Cannes )', 'September 23, 2005 (United States)']","['United States', 'Canada', 'Germany']",,,,
63,The League of Extraordinary Gentlemen,Stephen Norrington,,"['The League of Extraordinary Gentlemen', 'by', 'Alan Moore', ',', ""Kevin O'Neill""]","['Trevor Albert', 'Rick Benattar', 'Sean Connery', 'Mark Gordon', 'Don Murphy', 'Michael Nelson']","['Sean Connery', 'Richard Roxburgh', 'Shane West', 'Stuart Townsend', 'Peta Wilson', 'Tony Curran', 'Jason Flemyng', 'Naseeruddin Shah']",Dan Laustsen,Paul Rubell,Trevor Jones,,20th Century Fox,,110 minutes,English,78000000.0,179300000.0,,,,$78 million,$179.3 million,James Dale Robinson,,"['Angry Films', 'International Production Company', 'JD Productions']","['July 11, 2003 (United States)', 'October 17, 2003 (United Kingdom)']","['Germany', 'United Kingdom', 'United States']",,,,
64,Red,Robert Schwentke,"['Jon Hoeber', 'Erich Hoeber']","['Warren Ellis', 'Cully Hamner']","['Lorenzo di Bonaventura', 'Mark Vahradian']","['Bruce Willis', 'Morgan Freeman', 'John Malkovich', 'Mary-Louise Parker', 'Helen Mirren', 'Karl Urban', 'Rebecca Pidgeon', 'Brian Cox', 'Richard Dreyfuss', 'Julian McMahon', 'Ernest Borgnine', 'James Remar']",Florian Ballhaus,Thom Noble,Christophe Beck,Di Bonaventura Pictures,Summit Entertainment,,111 minutes,English,58000000.0,199000000.0,,,United States,$58–60 million,$199 million,,,,"['September 29, 2010 ( Fantastic Fest )', 'October 15, 2010 (United States)']",,,,,
65,Red 2,Dean Parisot,,"['Warren Ellis', 'Cully Hamner']","['Lorenzo di Bonaventura', 'Mark Vahradian']","['Bruce Willis', 'John Malkovich', 'Mary-Louise Parker', 'Anthony Hopkins', 'Helen Mirren', 'Catherine Zeta-Jones', 'Byung Hun Lee', 'Brian Cox', 'Neal McDonough', 'David Thewlis']",Enrique Chediak,Don Zimmerman,Alan Silvestri,Di Bonaventura Pictures,Summit Entertainment (through Lionsgate ),"['July 19, 2013']",116 minutes,English,84000000.0,148100000.0,2013-07-19,2013-07-19,United States,$84 million,$148.1 million,"['Jon Hoeber', 'Erich Hoeber']",,,,,,,,
66,Batman & Mr. Freeze: SubZero,Boyd Kirkland,"['Boyd Kirkland', 'Randy Rogel']",Batman by Bill Finger and Bob Kane,"['Boyd Kirkland', 'Randy Rogel']","['Kevin Conroy', 'Michael Ansara', 'Loren Lester', 'Efrem Zimbalist Jr.']",,Al Breitenbach,Michael McCuistion,Warner Bros. Animation,Warner Home Video,"['March 17, 1998']",66 minutes,English,,,1998-03-17,1998-03-17,United States,,,,,,,,,,,
67,Batman Beyond: Return of the Joker,Curt Geda,,DC Comics characters,"['Alan Burnett', 'Paul Dini', 'Bruce Timm', 'Glen Murakami']","['Will Friedle', 'Kevin Conroy', 'Mark Hamill', 'Angie Harmon', 'Melissa Joan Hart']",,Joe Gall,Kristopher Carter,Warner Bros. Animation,Warner Home Video,,"['73 minutes', '76 minutes']",English,,,,,United States,,,Paul Dini,"['Paul Dini', 'Glen Murakami', 'Bruce Timm']",,"['December 12, 2000', 'April 23, 2002']",,,,,
68,Batman: Mystery of the Batwoman,Curt Geda,Michael Reaves,Batman created by Bill Finger and Bob Kane,Margaret M. Dean,"['Kevin Conroy', 'Kimberly Brooks', 'Héctor Elizondo', 'Elisa Gabrielli', 'Kevin Michael Richardson', 'Kelly Ripa', 'Kyra Sedgwick', 'David Ogden Stiers']",,Margaret Hou,Lolita Ritmanis,Warner Bros. Animation,Warner Home Video,"['October 21, 2003']",74 minutes,English,,,2003-10-21,2003-10-21,United States,,,,Alan Burnett,,,,,,,
69,The Batman vs. Dracula,Michael Goguen,Duane Capizzi,"['Bob Kane', 'Bill Finger']","['Jeff Matsuda', 'Linda M. Steiner']","['Rino Romano', 'Peter Stormare', 'Tara Strong', 'Tom Kenny', 'Kevin Michael Richardson', 'Alastair Duncan']",,Margaret Hou,Thomas Chase Jones,,Warner Home Video,,84 minutes,English,,,,,United States,,,,,"['DC Comics', 'Warner Bros. Animation']","['October 18, 2005', 'October 22, 2005']",,,,,
70,Superman: Brainiac Attacks,Curt Geda,,Superman by Jerry Siegel and Joe Shuster,Margaret M. Dean,"['Tim Daly', 'Powers Boothe', 'Dana Delany', 'Lance Henriksen', 'George Dzundza', 'David Kaufman', 'Mike Farrell', 'Shelley Fabares']",,Margaret Hou,Thomas Chase Jones,,Warner Home Video,"['June 20, 2006']",77 minutes,English,,,2006-06-20,2006-06-20,United States,,,Duane Capizzi,"['Christopher Simmons', 'Duane Capizzi']","['DC Comics', 'Warner Bros. Animation']",,,,,,
71,Superman: Doomsday,"['Bruce Timm', 'Lauren Montgomery', 'Brandon Vietti']",,"['Dan Jurgens', 'Louise Simonson', 'Roger Stern']",Bruce Timm,"['Adam Baldwin', 'Anne Heche', 'James Marsters', 'John DiMaggio', 'Tom Kenny', 'Swoosie Kurtz', 'Cree Summer', 'Ray Wise', 'Adam Wylie']",,Joe Gall,Robert Kral,,Warner Home Video,"['September 18, 2007']",77 minutes,English,3500000.0,10000000.0,2007-09-18,2007-09-18,United States,$3.5 million,$10 million,Duane Capizzi,"['Duane Capizzi', 'Bruce Timm']","['Warner Premiere', 'DC Comics', 'Warner Bros. Animation']",,,,James Marsters,,
72,Justice League: The New Frontier,Dave Bullock,"['Stan Berkowitz', 'Darwyn Cooke (additional material)']",['Darwyn Cooke'],,"['David Boreanaz', 'Miguel Ferrer', 'Neil Patrick Harris', 'John Heard', 'Lucy Lawless', 'Kyle MacLachlan', 'Phil Morris', 'Kyra Sedgwick', 'Brooke Shields', 'Jeremy Sisto']",,Elen Orson,Kevin Manthei,,Warner Home Video,"['February 26, 2008']",75 minutes,English,,5700000.0,2008-02-26,2008-02-26,United States,,$5.7 million,,,"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Dong Woo Animation (Animation services)']",,,,,,
73,Batman: Gotham Knight,"['Shōjirō Nishimi', 'Futoshi Higashide', 'Hiroshi Morioka', 'Yasuhiro Aoki', 'Toshiyuki Kubooka', 'Jong-Sik Nam', 'Yoshiaki Kawajiri']",,Batman by Bill Finger and Bob Kane,"['Toshi Hiruma', 'Eiko Tanaka', 'Mitsuhisa Ishikawa', 'Kōichi Mashimo', 'Jungo Maruta', 'Alex Yeh', 'Masao Maruyama']","['Kevin Conroy', 'Gary Dourdan (', 'David McCallum', 'Parminder Nagra', 'Ana Ortiz']",,"['Joe Gall', 'Mutsumi Takemiya', 'Taeko Hamauzu', 'Bee Train', 'Kashiko Kimura']","['Christopher Drake', 'Kevin Manthei', 'Robert J. Kral']",,Warner Home Video,"['July 8, 2008']",76 minutes,,,,2008-07-08,2008-07-08,,,,"['Josh Olson', 'Greg Rucka', 'Jordan Goldberg', 'David Goyer', 'Brian Azzarello', 'Alan Burnett']",['Jordan Goldberg'],"['Warner Premiere', 'DC Comics', 'Warner Bros. Animation', 'Studio 4°C', 'Production I.G', 'Bee Train Production', 'Madhouse']",,"['United States', 'Japan']",,,"['English', 'Japanese']",
74,Batman Begins,Christopher Nolan,,"['Characters appearing in comic books published', 'by', 'DC Comics']","['Charles Roven', 'Emma Thomas', 'Larry Franco']","['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Morgan Freeman']",Wally Pfister,Lee Smith,"['Hans Zimmer', 'James Newton Howard']",,Warner Bros. Pictures,,140 minutes,English,150000000.0,373700000.0,,,,$150 million,$373.7 million,"['Christopher Nolan', 'David S. Goyer']",David S. Goyer,"['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']","['May 31, 2005 (Tokyo)', 'June 15, 2005 (United States)', 'June 17, 2005 (United Kingdom)']","['United Kingdom', 'United States']",,,,
75,The Dark Knight,Christopher Nolan,,"['Characters appearing in comic books published', 'by', 'DC Comics']","['Emma Thomas', 'Charles Roven', 'Christopher Nolan']","['Christian Bale', 'Michael Caine', 'Heath Ledger', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman']",Wally Pfister,Lee Smith,"['Hans Zimmer', 'James Newton Howard']",,Warner Bros. Pictures,,152 minutes,English,185000000.0,1006000000.0,,,,$185 million,$1.006 billion,"['Jonathan Nolan', 'Christopher Nolan']","['Christopher Nolan', 'David S. Goyer']","['Warner Bros. Pictures', 'Legendary Pictures', 'Syncopy']","['July 14, 2008 (New York City)', 'July 18, 2008 (United States)', 'July 25, 2008 (United Kingdom)']","['United States', 'United Kingdom']",,,,
76,Wonder Woman,Lauren Montgomery,,"['Wonder Woman:', 'Gods and Mortals', 'by', 'George Pérez', ',', 'Greg Potter', ', and', 'Len Wein']",Bruce Timm,"['Keri Russell', 'Nathan Fillion', 'Alfred Molina', 'Rosario Dawson', 'Marg Helgenberger', 'Oliver Platt', 'Virginia Madsen']",,,Christopher Drake,,Warner Home Video,"['March 3, 2009']",73 minutes,English,,,2009-03-03,2009-03-03,United States,,,['Michael Jelenic'],"['Gail Simone', 'Michael Jelenic']","['Warner Premiere', 'DC Comics', 'Warner Bros. Animation']",,,,,,
77,Green Lantern: First Flight,Lauren Montgomery,"['Alan Burnett', 'Michael Allen']","['John Broome', 'Gil Kane']","['Bobbie Page', 'Bruce Timm']","['Christopher Meloni', 'Victor Garber', 'Tricia Helfer', 'Michael Madsen', 'John Larroquette', 'Kurtwood Smith', 'Larry Drake']",,Rob Desales,Robert Kral,,Warner Home Video,"['July 28, 2009']",77 minutes,English,,,2009-07-28,2009-07-28,United States,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Comics', 'Telecom Animation Film']",,,,,,
78,Green Lantern: Emerald Knights,"['Christopher Berkeley', 'Lauren Montgomery', 'Jay Oliva']","['Eddie Berganza', 'Alan Burnett', 'Todd Casey', 'Dave Gibbons', 'Michael Green', 'Marc Guggenheim', 'Geoff Johns', 'Peter Tomasi']","['John Broome', 'Gil Kane']","['Donald De Line', 'Greg Berlanti', 'Lauren Montgomery']","['Nathan Fillion', 'Jason Isaacs', 'Elizabeth Moss', 'Henry Rollins', 'Arnold Vosloo']",,Margaret Hou,Christopher Drake,,Warner Home Video,"['June 7, 2011']",84 minutes,English,,,2011-06-07,2011-06-07,United States,,,,,"['Warner Premiere', 'DC Entertainment', 'Warner Bros. Animation']",,,,,,
79,Superman/Batman: Public Enemies,Sam Liu,Stan Berkowitz,"['Superman/Batman', 'by', 'Jeph Loeb', 'and', 'Ed McGuinness']","['Bruce Timm', 'Alan Burnett', 'Michael Goguen', 'Bobbie Page', 'Sam Register', 'Benjamin Melniker', 'Michael Uslan']","['Clancy Brown', 'Kevin Conroy', 'Tim Daly', 'Xander Berkeley', 'Corey Burton', 'Ricardo Chavira', 'Allison Mack', 'John C. McGinley', 'C. C. H. Pounder']",,Margaret Hou,Christopher Drake,,Warner Home Video,"['September 29, 2009']",67 minutes,English,,,2009-09-29,2009-09-29,United States,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Entertainment', 'Lotto Animation (Animation services)']",,,,,,
80,Justice League: Crisis on Two Earths,"['Sam Liu', 'Lauren Montgomery']",Dwayne McDuffie,,"['Bruce Timm', 'Bobbie Page', 'Alan Burnett (co-producer)', '(co-producer)', 'Sam Register (Executive Producer)', '(Executive Producer)']","['William Baldwin', 'Mark Harmon', 'Chris Noth', 'Gina Torres', 'James Woods']",,Margaret Hou,"['James L. Venable', 'Christopher Drake']",,Warner Home Video,"['February 23, 2010']",75 minutes,English,,,2010-02-23,2010-02-23,United States,,,,,"['Warner Bros. Animation', 'Warner Premiere', 'DC Entertainment', 'MOI Animation (Animation Services)']",,,,,,
