,title,Directed by,Written by,Based on,Produced by,Starring,Cinematography,Edited by,Music by,Production company,Distributed by,Release date,Running time,Language,Budget (float),Box office (float),Release date(datetime),Release date (datetime),Country,Budget,Box office,Screenplay by,Story by,Production companies,Release dates,Countries,Color process,Narrated by,Languages,Animation by
10,Batman,Tim Burton,,"['Characters by DC Comics', 'Batman by Bob Kane Bill Finger', 'Bob Kane', 'Bill Finger']","['Jon Peters', 'Peter Guber']","['Jack Nicholson', 'Michael Keaton', 'Kim Basinger', 'Robert Wuhl', 'Pat Hingle', 'Billy Dee Williams', 'Michael Gough', 'Jack Palance']",Roger Pratt,Ray Lovejoy,Danny Elfman,,Warner Bros.,,126 minutes,English,48000000.0,411600000.0,,,,$48 million,$411.6 million,"['Sam Hamm', 'Warren Skaaren']",Sam Hamm,"['Warner Bros.', 'Guber-Peters Company', 'Polygram Pictures']","['June 19, 1989 ( Westwood, Los Angeles )', 'June 23, 1989 (United States)', 'August 11, 1989 (United Kingdom)']","['United States', 'United Kingdom']",,,,
11,Batman Returns,Tim Burton,,"['Batman characters created by Bob Kane and Bill Finger', 'and published by DC Comics']","['Denise Di Novi', 'Tim Burton']","['Michael Keaton', 'Danny DeVito', 'Michelle Pfeiffer', 'Christopher Walken', 'Michael Gough', 'Pat Hingle', 'Michael Murphy']",Stefan Czapsky,Chris Lebenzon,Danny Elfman,,Warner Bros.,,126 minutes,English,50000000.0,266800000.0,,,United States,$50–80 million,$266.8 million,Daniel Waters,"['Daniel Waters', 'Sam Hamm']","['Warner Bros.', 'Polygram Pictures']","['June 16, 1992 (Hollywood, California)', 'June 19, 1992 (United States)']",,,,,
12,Batman Forever,Joel Schumacher,,"['Characters appearing in magazines published by DC Comics', 'Batman characters by Bob Kane']","['Tim Burton', 'Peter MacGregor-Scott']","['Val Kilmer', 'Jim Carrey', 'Tommy Lee Jones', 'Nicole Kidman', ""Chris O'Donnell"", 'Michael Gough', 'Pat Hingle']",Stephen Goldblatt,Dennis Virkler,Elliot Goldenthal,,Warner Bros. Pictures,,122 minutes,English,100000000.0,336600000.0,,,United States,$100 million,$336.6 million,"['Lee Batchler', 'Janet Scott Batchler', 'Akiva Goldsman']","['Lee Batchler', 'Janet Scott Batchler']","['PolyGram Pictures', 'Tim Burton Productions']","['June 9, 1995 ( Mann Village Theater )', 'June 16, 1995 (United States)']",,,,,
13,Batman & Robin,Joel Schumacher,Akiva Goldsman,"['Characters appearing in comics published by DC Comics', 'Batman characters by Bob Kane']",Peter MacGregor-Scott,"['Arnold Schwarzenegger', 'George Clooney', ""Chris O'Donnell"", 'Uma Thurman', 'Alicia Silverstone', 'Michael Gough', 'Pat Hingle', 'Elle Macpherson']",Stephen Goldblatt,"['Dennis Virkler', 'Mark Stevens']",Elliot Goldenthal,Warner Bros.,Warner Bros.,,125 minutes,English,125000000.0,238000000.0,,,United States,$125–160 million,$238 million,,,,"['June 12, 1997 ( Los Angeles )', 'June 20, 1997 (United States)']",,,,,
14,Steel,Kenneth Johnson,Kenneth Johnson,"['Louise Simonson', 'Jon Bogdanove']","['David Salzman', 'Quincy Jones', 'Joel Simon']","[""Shaquille O'Neal"", 'Annabeth Gish', 'Richard Roundtree', 'Judd Nelson']",Mark Irwin,John F. Link,Mervyn Warren,Quincy-David Salzman Entertainment,Warner Bros.,"['August 15, 1997']",97 minutes,English,16000000.0,1700000.0,1997-08-15,1997-08-15,United States,$16 million,$1.7 million,,,,,,,,,
15,Catwoman,Pitof,,"['Bill Finger', 'Bob Kane']","['Denise Di Novi', 'Edward L. McDonnell']","['Halle Berry', 'Benjamin Bratt', 'Lambert Wilson', 'Frances Conroy', 'Sharon Stone']",Thierry Arbogast,Sylvie Landra,Klaus Badelt,,Warner Bros. Pictures,,104 minutes,English,100000000.0,82100000.0,,,United States,$100 million,$82.1 million,"['John Brancato Michael Ferris', 'John Rogers']","['Theresa Rebeck', 'John Brancato', 'Michael Ferris']","['Village Roadshow Pictures', 'Di Novi Pictures', 'Frantic Films', 'Maple Shade Films', 'Catwoman Films']","['July 19, 2004 (Los Angeles)', 'July 23, 2004 (United States)']",,,,,
16,Constantine,Francis Lawrence,,"['Alan Moore', 'Stephen R. Bissette', 'Rick Veitch', 'John Totleben']","['Lauren Shuler Donner', 'Benjamin Melniker', 'Michael E. Uslan', 'Erwin Stoff', 'Lorenzo di Bonaventura', 'Akiva Goldsman']","['Keanu Reeves', 'Rachel Weisz', 'Shia LaBeouf', 'Tilda Swinton', 'Pruitt Taylor Vince', 'Djimon Hounsou', 'Gavin Rossdale', 'Peter Stormare']",Philippe Rousselot,Wayne Wahrman,"['Brian Tyler', 'Klaus Badelt']",,Warner Bros. Pictures,,121 minutes,English,70000000.0,230900000.0,,,United States,$70–100 million,$230.9 million,"['Kevin Brodbin', 'Frank Cappello']",Kevin Brodbin,"['Warner Bros. Pictures', '', ""The Donners' Company"", 'Weed Road Pictures', '3 Arts Entertainment']","['February 7, 2005 (Paris)', 'February 18, 2005 (United States)']",,,,,
17,Batman Begins,Christopher Nolan,,"['Characters appearing in comic books published', 'by', 'DC Comics']","['Charles Roven', 'Emma Thomas', 'Larry Franco']","['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman', 'Cillian Murphy', 'Tom Wilkinson', 'Rutger Hauer', 'Ken Watanabe', 'Morgan Freeman']",Wally Pfister,Lee Smith,"['Hans Zimmer', 'James Newton Howard']",,Warner Bros. Pictures,,140 minutes,English,150000000.0,373700000.0,,,,$150 million,$373.7 million,"['Christopher Nolan', 'David S. Goyer']",David S. Goyer,"['Warner Bros. Pictures', 'DC Comics', 'Legendary Pictures', 'Syncopy', 'Patalex III Productions']","['May 31, 2005 (Tokyo)', 'June 15, 2005 (United States)', 'June 17, 2005 (United Kingdom)']","['United Kingdom', 'United States']",,,,
18,Superman Returns,Bryan Singer,,"['Jerry Siegel', 'Joe Shuster']","['Jon Peters', 'Bryan Singer', 'Gilbert Adler']","['Brandon Routh', 'Kate Bosworth', 'James Marsden', 'Frank Langella', 'Eva Marie Saint', 'Parker Posey', 'Kal Penn', 'Sam Huntington', 'Kevin Spacey']",Newton Thomas Sigel,"['John Ottman', 'Elliot Graham']",John Ottman,,Warner Bros. Pictures,,154 minutes,English,223000000.0,391100000.0,,,United States,"['$223 million (gross)', '$204 million (net)']",$391.1 million,"['Michael Dougherty', 'Dan Harris']","['Bryan Singer', 'Michael Dougherty', 'Dan Harris']","['Warner Bros. Pictures', 'Legendary Pictures', 'DC Entertainment', 'Peters Entertainment', 'Bad Hat Harry Productions', 'Outback Pictures Inc.']","['June 21, 2006 ( Los Angeles )', 'June 28, 2006 (United States)']",,,,,
19,Superman,Richard Donner,,"['Jerry Siegel', 'Joe Shuster']",Pierre Spengler,"['Marlon Brando', 'Gene Hackman', 'Christopher Reeve', 'Ned Beatty', 'Jackie Cooper', 'Glenn Ford', 'Trevor Howard', 'Margot Kidder', 'Valerie Perrine', 'Maria Schell', 'Terence Stamp', 'Phyllis Thaxter', 'Susannah York']",Geoffrey Unsworth,Stuart Baird,John Williams,,"['Columbia – EMI – Warner Distributors (United Kingdom)', 'Warner Bros. (United States)']",,143 minutes,English,55000000.0,300500000.0,,,,$55 million,$300.5 million,"['Mario Puzo', 'David Newman', 'Leslie Newman', 'Robert Benton']",Mario Puzo,"['Dovemead Ltd.', 'International Film Production']","['December 10, 1978 ( The Kennedy Center )', 'December 14, 1978 (United Kingdom)', 'December 15, 1978 (United States)']","['Panama', 'Switzerland', 'United Kingdom', 'United States']",,,,
